SnowToday Calculated SWE Summary Data : 2023-04-15
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Sedgwick Peak,42.5200,-111.9600,2392.7,35.1,211.0,-0.2,USID,HUC17,N/A
Shanghi Summit,46.5700,-115.7400,1402.1,26.9,136.0,0.0,USID,HUC17,N/A
Sheep Mtn.,43.2100,-111.6900,2026.9,19.9,219.0,0.0,USID,HUC17,N/A
Sherwin,46.9500,-116.3400,975.4,8.8,339.0,0.0,USID,HUC17,N/A
Slug Creek Divide,42.5600,-111.3000,2202.2,25.4,208.0,0.0,USID,HUC17,N/A
Smiley Mountain,43.7300,-113.8300,2901.7,26.7,NaN,0.2,USID,HUC17,N/A
Soldier R.S.,43.4800,-114.8300,1749.6,14.2,NaN,0.0,USID,HUC17,N/A
Somsen Ranch,42.9500,-111.3600,2072.6,18.8,202.0,0.0,USID,HUC17,N/A
South Mtn.,42.7600,-116.9000,1981.2,22.6,248.0,0.0,USID,HUC17,N/A
Stickney Mill,43.8600,-114.2100,2264.7,11.2,211.0,0.0,USID,HUC17,N/A
Sunset,47.5600,-115.8200,1688.6,18.9,81.0,0.0,USID,HUC17,N/A
Swede Peak,43.6300,-113.9700,2328.7,21.7,179.0,0.0,USID,HUC17,N/A
Trinity Mtn.,43.6300,-115.4400,2368.3,43.2,120.0,0.0,USID,HUC17,N/A
Van Wyck,44.3800,-116.3400,1499.6,8.3,NaN,-0.2,USID,HUC17,N/A
Vienna Mine,43.8000,-114.8500,2731.0,36.4,112.0,0.0,USID,HUC17,N/A
West Branch,45.0700,-116.4500,1694.7,21.6,123.0,0.0,USID,HUC17,N/A
White Elephant,44.5300,-111.4100,2350.0,38.5,139.0,0.0,USID,HUC17,N/A
Wildhorse Divide,42.7600,-112.4800,1978.2,26.6,208.0,0.0,USID,HUC17,N/A
Wilson Creek,42.0100,-115.0000,2170.2,22.2,255.0,0.0,USID,HUC17,N/A
Albro Lake,45.6000,-111.9600,2529.8,20.1,104.0,0.4,USMT,HUC10,N/A
Badger Pass,48.1300,-113.0200,2103.1,29.9,92.0,0.0,USMT,HUC17,N/A
Banfield Mountain,48.5700,-115.4500,1706.9,13.2,77.0,0.0,USMT,HUC17,N/A
Barker Lakes,46.1000,-113.1300,2514.6,16.8,112.0,0.0,USMT,HUC17,N/A
Basin Creek,45.8000,-112.5200,2188.5,11.3,133.0,0.0,USMT,HUC17,N/A
Beagle Springs,44.4700,-112.9800,2697.5,13.0,131.0,0.0,USMT,HUC10,N/A
Beaver Creek,44.9500,-111.3600,2392.7,21.5,116.0,0.0,USMT,HUC10,N/A
Bisson Creek,47.6800,-114.0000,1499.6,11.6,128.0,0.0,USMT,HUC17,N/A
Black Bear,44.5100,-111.1300,2490.2,45.4,119.0,0.0,USMT,HUC10,N/A
Black Pine,46.4100,-113.4300,2197.6,13.2,128.0,0.2,USMT,HUC17,N/A
Blacktail Mtn,47.9800,-114.3500,1722.1,10.0,NaN,0.2,USMT,HUC17,N/A
Bloody Dick,45.1700,-113.5000,2316.5,13.0,114.0,0.0,USMT,HUC10,N/A
Boulder Mountain,46.5600,-111.2900,2423.2,23.9,118.0,0.0,USMT,HUC10,N/A
Box Canyon,45.2700,-110.2500,2033.0,10.0,136.0,0.2,USMT,HUC10,N/A
Brackett Creek,45.8900,-110.9400,2231.1,21.9,97.0,0.2,USMT,HUC10,N/A
Burnt Mtn,45.2400,-109.4600,1792.2,9.7,NaN,0.2,USMT,HUC10,N/A
Calvert Creek,45.8800,-113.3300,1959.9,7.2,130.0,0.0,USMT,HUC10,N/A
Carrot Basin,44.9600,-111.2900,2743.2,32.2,117.0,0.0,USMT,HUC10,N/A
Clover Meadow,45.0200,-111.8500,2621.3,19.7,119.0,0.0,USMT,HUC10,N/A
Cole Creek,45.1900,-109.3500,2392.7,15.6,100.0,0.3,USMT,HUC10,N/A
Combination,46.4700,-113.3900,1706.9,5.2,179.0,0.0,USMT,HUC17,N/A
Copper Bottom,47.0600,-112.6000,1585.0,5.6,81.0,0.2,USMT,HUC17,N/A
Copper Camp,47.0800,-112.7300,2118.4,27.7,92.0,0.0,USMT,HUC17,N/A
Crystal Lake,46.7900,-109.5100,1844.0,14.7,115.0,0.0,USMT,HUC10,N/A
Daisy Peak,46.6700,-110.3300,2316.5,12.0,113.0,0.2,USMT,HUC10,N/A
Daly Creek,46.1800,-113.8500,1761.7,9.8,126.0,0.0,USMT,HUC17,N/A
Darkhorse Lake,45.1700,-113.5800,2726.4,30.0,101.0,0.0,USMT,HUC10,N/A
Deadman Creek,46.7900,-110.6800,1966.0,12.7,144.0,0.0,USMT,HUC10,N/A
Divide,44.7900,-112.0600,2377.4,12.9,122.0,0.0,USMT,HUC10,N/A
Dupuyer Creek,48.0600,-112.7600,1752.6,9.4,105.0,0.0,USMT,HUC10,N/A
East Boulder Mine,45.5000,-110.0800,1930.9,8.9,NaN,0.0,USMT,HUC10,N/A
Elk Peak,46.4800,-110.7100,2316.5,31.4,NaN,0.0,USMT,HUC10,N/A
Emery Creek,48.4300,-113.9400,1325.9,7.8,63.0,0.0,USMT,HUC17,N/A
Fisher Creek,45.0600,-109.9400,2773.7,35.4,107.0,0.0,USMT,HUC10,N/A
Flattop Mtn.,48.8000,-113.8600,1920.2,36.3,83.0,-0.3,USMT,HUC17,N/A
Frohner Meadow,46.4400,-112.1900,1975.1,9.6,129.0,0.0,USMT,HUC10,N/A
Garver Creek,48.9800,-115.8200,1295.4,9.2,115.0,0.0,USMT,HUC17,N/A
Grave Creek,48.9100,-114.7700,1310.6,11.2,91.0,0.0,USMT,HUC17,N/A
Hand Creek,48.3100,-114.8400,1534.7,7.1,73.0,0.0,USMT,HUC17,N/A
Hawkins Lake,48.9700,-115.9500,1966.0,23.4,89.0,0.0,USMT,HUC17,N/A
Hoodoo Basin,46.9800,-115.0300,1844.0,38.4,95.0,0.2,USMT,HUC17,N/A
JL Meadow,44.7800,-113.1200,2682.2,16.9,NaN,-0.4,USMT,HUC10,N/A
Kraft Creek,47.4300,-113.7800,1447.8,10.0,115.0,-0.3,USMT,HUC17,N/A
Lakeview Ridge,44.5900,-111.8200,2255.5,13.3,150.0,0.0,USMT,HUC10,N/A
Lemhi Ridge,44.9900,-113.4400,2468.9,12.8,120.0,0.2,USMT,HUC10,N/A
Lick Creek,45.5000,-110.9700,2090.9,13.8,123.0,0.0,USMT,HUC10,N/A
Lone Mountain,45.2700,-111.4300,2706.6,23.0,126.0,0.0,USMT,HUC10,N/A
Lower Twin,45.5100,-111.9200,2407.9,19.5,107.0,0.0,USMT,HUC10,N/A
Lubrecht Flume,46.8800,-113.3200,1426.5,4.6,NaN,0.0,USMT,HUC17,N/A
Madison Plateau,44.5900,-111.1200,2362.2,32.1,140.0,-0.5,USMT,HUC10,N/A
Many Glacier,48.8000,-113.6700,1493.5,9.6,92.0,-0.3,USMT,N/A,N/A
Monument Peak,45.2200,-110.2400,2697.5,23.0,108.0,0.0,USMT,HUC10,N/A
Moss Peak,47.6800,-113.9600,2066.5,41.1,105.0,0.0,USMT,HUC17,N/A
Mount Lockhart,47.9200,-112.8200,1950.7,16.5,86.0,0.0,USMT,HUC10,N/A
Mule Creek,45.4100,-112.9600,2529.8,15.5,100.0,0.0,USMT,HUC10,N/A
N Fk Elk Creek,46.8700,-113.2800,1905.0,12.1,114.0,0.0,USMT,HUC17,N/A
Nevada Ridge,46.8400,-112.5100,2139.7,16.8,111.0,0.0,USMT,HUC17,N/A
Nez Perce Camp,45.7300,-114.4800,1722.1,14.0,109.0,0.0,USMT,HUC17,N/A
Noisy Basin,48.1600,-113.9500,1841.0,39.9,92.0,0.4,USMT,HUC17,N/A
North Fork Jocko,47.2700,-113.7600,1929.4,41.7,99.0,-0.4,USMT,HUC17,N/A
Northeast Entrance,45.0100,-110.0100,2240.3,9.5,117.0,0.0,USMT,HUC10,N/A
Onion Park,46.9100,-110.8500,2258.6,17.2,NaN,0.2,USMT,HUC10,N/A
Peterson Meadows,46.1300,-113.3100,2194.6,13.2,124.0,0.0,USMT,HUC17,N/A
Pickfoot Creek,46.5800,-111.2700,2026.9,8.9,99.0,0.0,USMT,HUC10,N/A
Pike Creek,48.3000,-113.3300,1807.5,0.0,0.0,-0.2,USMT,HUC10,N/A
Placer Basin,45.4200,-110.0900,2691.4,18.5,101.0,0.2,USMT,HUC10,N/A
Poorman Creek,48.1300,-115.6200,1554.5,29.5,89.0,0.0,USMT,HUC17,N/A
Porcupine,46.1100,-110.4700,1981.2,6.1,113.0,0.0,USMT,HUC10,N/A
Rocker Peak,46.3600,-112.2600,2438.4,17.0,120.0,0.0,USMT,HUC10,N/A
Rocky Boy,48.1700,-109.6500,1432.6,8.4,467.0,0.0,USMT,HUC10,N/A
S Fork Shields,46.0900,-110.4300,2468.9,11.8,70.0,0.0,USMT,HUC10,N/A
Sacajawea,45.8700,-110.9300,1996.4,13.3,NaN,0.0,USMT,HUC10,N/A
Saddle Mtn.,45.6900,-113.9700,2420.1,23.4,98.0,0.0,USID,HUC17,N/A
Short Creek,44.9800,-111.9500,2133.6,8.9,162.0,0.0,USMT,HUC10,N/A
Shower Falls,45.4000,-110.9600,2468.9,24.1,105.0,0.3,USMT,HUC10,N/A
Skalkaho Summit,46.2400,-113.7700,2209.8,19.1,88.0,0.0,USMT,HUC17,N/A
Sleeping Woman,47.1800,-114.3300,1874.5,15.3,103.0,0.3,USMT,HUC17,N/A
Spur Park,46.7800,-110.6200,2468.9,24.7,113.0,0.0,USMT,HUC10,N/A
Stahl Peak,48.9100,-114.8600,1837.9,29.5,80.0,-0.2,USMT,HUC17,N/A
Stringer Creek,46.9300,-110.9000,1996.4,14.5,NaN,0.0,USMT,HUC10,N/A
Stuart Mountain,47.0000,-113.9300,2255.5,31.5,97.0,0.0,USMT,HUC17,N/A
Tepee Creek,44.7900,-111.7100,2438.4,17.6,139.0,0.0,USMT,HUC10,N/A
Tizer Basin,46.3500,-111.8500,2097.0,11.1,116.0,0.0,USMT,HUC10,N/A
Twelvemile Creek,46.1400,-114.4500,1706.9,13.9,104.0,0.0,USMT,HUC17,N/A
Twin Lakes,46.1400,-114.5100,1950.7,38.3,104.0,0.0,USMT,HUC17,N/A
Waldron,47.9200,-112.7900,1706.9,10.1,103.0,0.0,USMT,HUC10,N/A
Warm Springs,46.2700,-113.1600,2377.4,22.0,100.0,0.0,USMT,HUC17,N/A
West Yellowstone,44.6600,-111.0900,2042.2,15.5,186.0,0.4,USMT,HUC10,N/A
Whiskey Creek,44.6100,-111.1500,2072.6,22.0,146.0,0.0,USMT,HUC10,N/A
White Mill,45.0500,-109.9100,2651.8,25.8,106.0,0.0,USMT,HUC10,N/A
Wood Creek,47.4500,-112.8100,1816.6,8.9,101.0,0.0,USMT,HUC10,N/A
Bateman,36.5100,-106.3200,2834.6,13.8,137.0,0.0,USNM,HUC13,N/A
Chamita,36.9600,-106.6600,2560.3,11.0,272.0,-0.2,USNM,HUC13,N/A
Elk Cabin,35.7000,-105.8100,2502.4,0.0,NaN,0.0,USNM,HUC13,N/A
Frisco Divide,33.7400,-108.9500,2438.4,0.0,NaN,0.0,USNM,HUC15,N/A
Gallegos Peak,36.1900,-105.5600,2987.0,7.3,113.0,-0.3,USNM,HUC13,N/A
Garita Peak,36.0100,-106.5500,3096.8,8.0,NaN,0.0,USNM,HUC13,N/A
Hopewell,36.7200,-106.2600,3048.0,19.8,117.0,0.0,USNM,HUC13,N/A
Lookout Mountain,33.3600,-107.8300,2590.8,0.0,NaN,0.0,USNM,HUC15,N/A
Mcknight Cabin,33.0100,-107.8700,2816.4,0.0,NaN,0.0,USNM,HUC13,N/A
Navajo Whiskey Ck,36.1800,-108.9500,2758.4,15.3,NaN,-0.3,USNM,HUC14,N/A
North Costilla,36.9900,-105.2600,3230.9,2.4,102.0,-0.4,USNM,HUC13,N/A
Palo,36.4100,-105.3300,2849.9,2.0,NaN,-0.3,USNM,HUC13,N/A
Quemazon,35.9200,-106.3900,2895.6,0.0,NaN,0.0,USNM,HUC13,N/A
Red River Pass #2,36.7000,-105.3400,3002.3,0.4,20.0,-0.4,USNM,HUC13,N/A
Rice Park,35.2300,-108.2700,2578.6,2.3,NaN,-0.6,USNM,HUC13,N/A
Rio Santa Barbara,36.0700,-105.6300,3250.4,14.5,NaN,0.0,USNM,HUC13,N/A
San Antonio Sink,36.8600,-106.2300,2773.7,7.9,NaN,-0.4,USNM,HUC13,N/A
Santa Fe,35.7700,-105.7800,3488.4,18.5,124.0,0.0,USNM,HUC13,N/A
Senorita Divide #2,36.0000,-106.8300,2621.3,7.5,500.0,-0.4,USNM,HUC13,N/A
Shuree,36.7900,-105.2400,3078.5,0.0,NaN,0.0,USNM,HUC13,N/A
Sierra Blanca,33.4000,-105.7900,3133.3,0.0,NaN,0.0,USNM,HUC13,N/A
Signal Peak,32.9200,-108.1500,2548.1,0.0,NaN,0.0,USNM,HUC15,N/A
Silver Creek Divide,33.3700,-108.7100,2743.2,0.0,NaN,0.0,USNM,HUC15,N/A
Taos Powderhorn,36.5800,-105.4600,3370.2,23.0,NaN,0.0,USNM,HUC13,N/A
Tolby,36.4700,-105.1900,3102.9,6.8,NaN,0.0,USNM,HUC11,N/A
Tres Ritos,36.1300,-105.5300,2621.3,0.0,NaN,0.0,USNM,HUC13,N/A
Vacas Locas,36.0300,-106.8100,2836.5,11.4,NaN,-0.2,USNM,HUC13,N/A
Wesner Springs,35.7800,-105.5400,3389.4,15.7,135.0,-0.2,USNM,HUC13,N/A
Bear Creek,41.8300,-115.4500,2450.6,28.8,162.0,0.0,USNV,HUC17,N/A
Berry Creek,39.3200,-114.6200,2858.1,31.1,210.0,0.0,USNV,HUC16,N/A
Big Bend,41.7600,-115.6900,2102.5,14.7,1401.0,0.0,USNV,HUC17,N/A
Big Creek Sum,39.2900,-117.1200,2647.2,37.6,219.0,0.0,USNV,HUC16,N/A
Big Meadow,39.4500,-119.9400,2510.0,44.7,263.0,-0.2,USNV,HUC16,N/A
Bird Creek,39.4600,-114.6500,2297.3,4.4,NaN,-0.4,USNV,HUC16,N/A
Bristlecone Trail,36.3200,-115.7000,2709.7,22.1,NaN,-0.5,USNV,HUC15,N/A
Buckskin Lower,41.7500,-117.5300,2112.3,19.3,357.0,0.0,USNV,HUC16,N/A
Cave Mountain,39.1600,-114.6100,3224.2,26.2,NaN,0.0,USNV,HUC16,N/A
Corral Canyon,40.2800,-115.5400,2574.0,37.4,234.0,-0.6,USNV,HUC16,N/A
Diamond Peak,39.5600,-115.8400,2443.6,7.2,NaN,-0.8,USNV,HUC16,N/A
Disaster Peak,41.9700,-118.1900,1908.0,7.3,NaN,-0.6,USNV,HUC16,N/A
Dorsey Basin,40.8900,-115.2100,2408.8,25.3,250.0,0.0,USNV,HUC16,N/A
Draw Creek,41.6600,-115.3200,2234.8,18.8,298.0,0.0,USNV,HUC16,N/A
Dry Creek,40.8600,-115.2200,1998.0,9.3,NaN,0.0,USNV,HUC16,N/A
Fawn Creek,41.8200,-116.1000,2143.0,22.5,153.0,0.0,USNV,HUC17,N/A
Fry Canyon,41.5700,-115.9400,2072.0,0.9,NaN,-1.1,USNV,HUC16,N/A
Golconda,40.8800,-117.5900,2016.6,10.4,NaN,-0.3,USNV,HUC16,N/A
Granite Peak,41.6700,-117.5700,2591.7,37.5,214.0,0.0,USNV,HUC16,N/A
Green Mountain,40.3800,-115.5300,2494.8,33.0,429.0,-0.3,USNV,HUC16,N/A
Hole-in-Mountain,40.9400,-115.1000,2488.1,38.9,316.0,0.0,USNV,HUC16,N/A
Jack Creek Upper,41.5500,-116.0100,2248.5,23.3,148.0,0.0,USNV,HUC17,N/A
Jacks Peak,41.5100,-116.0100,2567.6,NaN,NaN,NaN,USNV,HUC17,N/A
Kalamazoo,39.5600,-114.6300,2369.8,15.5,NaN,-0.7,USNV,HUC16,N/A
Lamance Creek,41.5200,-117.6300,1949.2,11.0,NaN,-0.6,USNV,HUC16,N/A
Lamoille #3,40.6400,-115.3800,2453.9,25.8,287.0,-0.4,USNV,HUC16,N/A
Laurel Draw,41.7800,-116.0300,2036.7,14.4,369.0,0.0,USNV,HUC17,N/A
Lee Canyon,36.3100,-115.6800,2629.2,19.3,NaN,-0.2,USNV,HUC15,N/A
Lewis Peak,40.3600,-116.8600,2246.4,23.1,NaN,0.0,USNV,HUC16,N/A
Little Valley,39.2500,-119.8800,1979.1,24.6,NaN,-0.7,USNV,HUC16,N/A
Marlette Lake,39.1600,-119.9000,2403.0,48.8,290.0,-0.8,USNV,HUC16,N/A
Merritt Mountain,41.8900,-115.8600,2107.7,NaN,NaN,NaN,USNV,HUC17,N/A
Mt Rose Ski Area,39.3200,-119.8900,2682.5,72.2,206.0,-0.2,USNV,HUC16,N/A
ONeil Creek,41.8600,-115.0800,1987.3,12.4,NaN,0.0,USNV,HUC17,N/A
Pole Canyon,40.8600,-115.1200,2365.2,27.8,NaN,-1.0,USNV,HUC16,N/A
Pole Creek R.S.,41.8700,-115.2500,2548.1,26.0,130.0,0.0,USNV,HUC17,N/A
Porter Canyon,39.4700,-117.6200,2190.6,3.0,NaN,-0.5,USNV,HUC16,N/A
Rainbow Canyon,36.2500,-115.6300,2395.7,20.2,NaN,-0.8,USNV,HUC15,N/A
Seventysix Creek,41.7400,-115.4700,2240.3,15.1,305.0,0.0,USNV,HUC17,N/A
Sheldon,41.9000,-119.4400,1787.7,0.7,NaN,-0.2,USNV,HUC17,N/A
Summit Lk,41.4900,-119.0000,2321.1,16.2,NaN,0.0,USNV,HUC16,N/A
Taylor Canyon,41.2300,-116.0300,1927.9,13.4,NaN,-0.4,USNV,HUC17,N/A
Toe Jam,41.3200,-116.3400,2343.9,24.0,NaN,0.0,USNV,HUC16,N/A
Vacarro Springs,39.4500,-115.9800,2404.9,16.4,NaN,-0.7,USNV,HUC16,N/A
Ward Mountain,39.1300,-114.9600,2792.9,25.6,242.0,-0.2,USNV,HUC15,N/A
Wheeler Peak,39.0100,-114.3100,3066.3,34.2,NaN,-0.2,USNV,HUC16,N/A
Aneroid Lake #2,45.2100,-117.1900,2255.5,26.0,108.0,0.0,USOR,HUC17,N/A
Annie Springs,42.8700,-122.1700,1831.8,54.3,NaN,0.0,USOR,HUC18,N/A
Arbuckle Mtn,45.1900,-119.2500,1758.7,23.9,152.0,0.2,USOR,HUC17,N/A
Bear Grass,44.3300,-122.0900,1438.7,75.1,NaN,-0.9,USOR,HUC17,N/A
Beaver Reservoir,45.1500,-118.2200,1569.7,14.9,292.0,0.2,USOR,HUC17,N/A
Big Red Mountain,42.0500,-122.8500,1844.0,34.0,137.0,0.3,USOR,HUC17,N/A
Bigelow Camp,42.0800,-123.3400,1563.6,29.8,903.0,-0.6,USOR,HUC17,N/A
Billie Creek Divide,42.4100,-122.2700,1609.3,33.0,209.0,-0.4,USOR,HUC18,N/A
Blazed Alder,45.4300,-121.8600,1112.5,46.5,167.0,-0.3,USOR,HUC17,N/A
Blue Mountain Spring,44.2500,-118.5200,1789.2,19.8,164.0,0.2,USOR,HUC17,N/A
Bourne,44.8300,-118.1900,1783.1,20.0,177.0,0.0,USOR,HUC17,N/A
Bowman Springs,45.3600,-118.4700,1380.7,7.7,854.0,0.0,USOR,HUC17,N/A
Cascade Summit,43.5900,-122.0600,1554.5,42.1,149.0,0.0,USOR,HUC17,N/A
Chemult Alternate,43.2300,-121.8100,1478.3,13.1,NaN,-0.3,USOR,HUC18,N/A
Clackamas Lake,45.1000,-121.7500,1036.3,16.5,246.0,-0.3,USOR,HUC17,N/A
Clear Lake,45.1900,-121.6900,1161.3,12.9,148.0,0.0,USOR,HUC17,N/A
Cold Springs Camp,42.5300,-122.1800,1810.5,33.6,150.0,-0.3,USOR,HUC18,N/A
County Line,45.1900,-118.5500,1472.2,4.1,NaN,-0.3,USOR,HUC17,N/A
Crazyman Flat,42.6400,-120.9500,1883.7,21.4,NaN,-0.6,USOR,HUC18,N/A
Daly Lake,44.5200,-122.0900,1124.7,18.4,323.0,0.0,USOR,HUC17,N/A
Derr.,44.4500,-119.9300,1783.1,20.0,244.0,0.0,USOR,HUC17,N/A
Diamond Lake,43.1900,-122.1400,1609.3,19.0,404.0,-0.2,USOR,HUC17,N/A
Eilertson Meadows,44.8700,-118.1100,1679.4,15.2,475.0,0.0,USOR,HUC17,N/A
Emigrant Springs,45.5600,-118.4500,1158.2,4.2,NaN,-0.2,USOR,HUC17,N/A
Fish Creek,42.7100,-118.6300,2334.8,34.1,127.0,0.0,USOR,HUC17,N/A
Fish Lk.,42.3800,-122.3500,1420.4,15.8,810.0,-0.3,USOR,HUC17,N/A
Fourmile Lake,42.4400,-122.2300,1819.7,30.8,134.0,0.0,USOR,HUC18,N/A
Gerber Reservoir,42.2100,-121.1300,1490.5,0.0,NaN,-0.3,USOR,HUC18,N/A
Gold Center,44.7600,-118.3100,1649.0,15.5,NaN,0.0,USOR,HUC17,N/A
Greenpoint,45.6200,-121.7000,1008.9,NaN,NaN,NaN,USOR,HUC17,N/A
High Ridge,45.7000,-118.1100,1499.6,35.2,169.0,0.0,USOR,HUC17,N/A
Hogg Pass,44.4200,-121.8600,1460.0,22.4,77.0,-0.5,USOR,HUC17,N/A
Holland Meadows,43.6700,-122.5700,1502.7,52.9,291.0,-0.3,USOR,HUC17,N/A
Howard Prairie,42.2200,-122.3700,1396.0,11.7,NaN,0.0,USOR,HUC18,N/A
Irish Taylor,43.8000,-121.9500,1688.6,NaN,NaN,NaN,USOR,HUC17,N/A
Jump Off Joe,44.3900,-122.1700,1072.9,18.4,379.0,-0.2,USOR,HUC17,N/A
King Mountain,42.7200,-123.2000,1322.8,16.1,NaN,-0.3,USOR,HUC17,N/A
Lake Creek R.S.,44.2100,-118.6400,1597.2,12.5,1000.0,0.0,USOR,HUC17,N/A
Little Meadows,44.6100,-122.2300,1225.3,48.0,176.0,-0.2,USOR,HUC17,N/A
Lucky Strike,45.2700,-118.8500,1514.9,11.9,441.0,0.0,USOR,HUC17,N/A
Madison Butte,45.1100,-119.5000,1569.7,8.0,NaN,0.0,USOR,HUC17,N/A
Marion Forks,44.5900,-121.9700,789.4,16.7,477.0,-0.2,USOR,HUC17,N/A
Mckenzie,44.2100,-121.8700,1453.9,38.1,108.0,0.0,USOR,HUC17,N/A
Milk Shakes,45.9800,-117.9500,1700.8,45.0,NaN,0.0,USOR,HUC17,N/A
Miller Woods,45.2500,-123.2800,128.0,0.0,NaN,0.0,USOR,HUC17,N/A
Moss Springs,45.2700,-117.6900,1755.6,30.0,129.0,0.0,USOR,HUC17,N/A
Mt Hood Test Site,45.3200,-121.7200,1636.8,58.5,100.0,0.0,USOR,HUC17,N/A
Mt. Howard,45.2700,-117.1700,2411.0,19.0,114.0,0.2,USOR,HUC17,N/A
Mud Ridge,45.2500,-121.7400,1240.5,35.0,158.0,0.0,USOR,HUC17,N/A
New Crescent Lake,43.5100,-121.9800,1496.6,21.9,NaN,0.6,USOR,HUC17,N/A
North Fork,45.5500,-122.0000,932.7,42.5,221.0,0.0,USOR,HUC17,N/A
Ochoco Meadows,44.4300,-120.3300,1655.1,15.5,443.0,-0.4,USOR,HUC17,N/A
Peavine Ridge,45.0400,-121.9300,1042.4,19.6,256.0,-0.3,USOR,HUC17,N/A
Quartz Mountain,42.3200,-120.8300,1743.5,2.7,NaN,-0.6,USOR,HUC18,N/A
Railroad Overpass,43.6600,-122.2100,816.9,NaN,NaN,NaN,USOR,HUC17,N/A
Red Hill,45.4600,-121.7000,1344.2,54.4,120.0,0.0,USOR,HUC17,N/A
Roaring River,43.9000,-122.0300,1508.8,38.2,157.0,-0.2,USOR,HUC17,N/A
Rock Springs,44.0100,-118.8400,1612.4,NaN,NaN,NaN,USOR,HUC17,N/A
Saddle Mountain,45.5400,-123.3700,947.9,16.7,NaN,-0.3,USOR,HUC17,N/A
Salt Creek Falls,43.6100,-122.1200,1286.3,33.9,203.0,0.0,USOR,HUC17,N/A
Santiam Jct.,44.4400,-121.9500,1140.0,23.0,613.0,-0.5,USOR,HUC17,N/A
Schneider Meadows,45.0000,-117.1700,1645.9,36.2,157.0,0.0,USOR,HUC17,N/A
Seine Creek,45.5300,-123.3000,627.9,0.0,NaN,0.0,USOR,HUC17,N/A
Sevenmile Marsh,42.7000,-122.1400,1737.4,44.6,168.0,0.0,USOR,HUC18,N/A
Silver Creek,42.9600,-121.1800,1749.6,15.2,NaN,-0.4,USOR,HUC17,N/A
Silvies,42.7500,-118.6900,2130.6,20.2,163.0,0.2,USOR,HUC17,N/A
Smith Ridge,44.3000,-122.0400,996.7,12.3,NaN,-0.5,USOR,HUC17,N/A
Snow Mountain,43.9500,-119.5400,1898.9,19.5,197.0,0.0,USOR,HUC17,N/A
South Fork Bull Run,45.4500,-122.0300,819.9,14.7,NaN,0.0,USOR,HUC17,N/A
Starr Ridge,44.2600,-119.0200,1600.2,7.2,NaN,0.0,USOR,HUC17,N/A
Strawberry,42.1300,-120.8400,1758.7,7.6,NaN,-0.8,USOR,HUC18,N/A
Summer Rim,42.7000,-120.8000,2158.0,10.5,69.0,0.0,USOR,HUC18,N/A
Summit Lake,43.4500,-122.1400,1709.9,44.1,111.0,0.0,USOR,HUC17,N/A
Sun Pass,42.7900,-121.9800,1645.9,27.4,NaN,-0.6,USOR,HUC18,N/A
Swan Lake Mtn,42.4100,-121.6800,2081.8,31.9,NaN,0.0,USOR,HUC18,N/A
Taylor Butte,42.6900,-121.4300,1533.1,7.8,NaN,-0.6,USOR,HUC18,N/A
Taylor Green,45.0800,-117.5500,1749.6,26.5,157.0,0.0,USOR,HUC17,N/A
Three Creeks Meadow,44.1400,-121.6400,1734.3,16.3,104.0,-0.2,USOR,HUC17,N/A
Tipton,44.6600,-118.4300,1569.7,13.8,152.0,0.0,USOR,HUC17,N/A
Toketee Airstrip,43.2300,-122.4300,987.6,5.9,NaN,-0.6,USOR,HUC17,N/A
Wolf Creek,45.0700,-118.1500,1716.0,17.9,132.0,0.0,USOR,HUC17,N/A
Blind Park,44.1100,-103.9800,2100.1,6.4,142.0,-0.2,USSD,HUC10,N/A
North Rapid Creek,44.2100,-103.7900,1868.4,6.0,NaN,-0.2,USSD,HUC10,N/A
Agua Canyon,37.5200,-112.2700,2712.7,18.3,NaN,0.0,USUT,HUC16,N/A
Bear River RS,40.8900,-110.8300,2675.2,13.5,NaN,0.0,USUT,HUC16,N/A
Beaver Dams,39.1400,-111.5600,2435.4,16.1,700.0,-0.4,USUT,HUC16,N/A
Beaver Divide,40.6100,-111.1000,2523.7,20.5,313.0,0.0,USUT,HUC16,N/A
Ben Lomond Peak,41.3800,-111.9400,2343.6,82.8,246.0,0.0,USUT,HUC16,N/A
Ben Lomond Trail,41.3800,-111.9200,1820.3,43.6,454.0,-0.5,USUT,HUC16,N/A
Bevans Cabin,40.4600,-112.2500,1987.3,11.6,NaN,0.0,USUT,HUC16,N/A
Big Flat,38.3000,-112.3600,3154.4,36.1,204.0,0.0,USUT,HUC16,N/A
Black Flat-U.M. Ck,38.6800,-111.6000,2869.4,15.5,212.0,0.0,USUT,HUC14,N/A
Blacks Fork Jct,40.9600,-110.5800,2703.3,14.2,NaN,0.0,USUT,HUC14,N/A
Bobs Hollow,38.9500,-112.1500,2840.4,24.8,NaN,0.0,USUT,HUC16,N/A
Box Creek,38.5100,-112.0200,3003.2,12.3,115.0,0.0,USUT,HUC16,N/A
Box Springs,38.5000,-112.0100,2812.7,11.8,NaN,-0.2,USUT,HUC16,N/A
